,Time,Speech,Observation by Code,Common words,General Observation,
60,0:06:41,"Hold on we got a problem with epi right now one second, -- I'm sorry",,,,
61,0:06:45,You gave one dose,,,,
62,0:06:46,"One dose, yup",,,,
63,0:06:47,"So, thank you, please keep having those epi's ready, here for a minute",,,,
64,0:06:52,"Change his um weight to 8 kilos and, and start having the doctor know if you want",,,,
65,0:06:59,Giving us 25 percent change,,,,
66,0:07:00,"Hey guys, hold up we're gonna change his weight to 8 kilos, so everything after is increased",,,,
67,0:07:07,Want me to wait --,,,,
68,0:07:10,So we need four doses of epi,,,,
,,,,,,
83,0:07:35,"So -- went in at 2, can you remind me at 6 minutes we can give next epi dose",,,,
,,,,,,
137,0:10:14,Can we have a dose of epi,,,,
138,0:10:16,Yeah I can get it,,,,
,,,,,,
151,0:10:46,Um I think we can use a dose of a paralytic at 16 mg succinylcholine,,,,
152,0:10:52,Please give the sucs,,,,
153,0:10:53,Can you please give the succinylcholine,,,,
154,0:10:56,Do we have med nurse,,,,
,,,,,,
160,0:11:11,"16 mg sucs, right IO",,,,
161,0:11:14,"Suction, yeah",,,,
162,0:11:15,Is that second dose of epi ready,,,,
163,0:11:17,"I have a second dose of epi, 0.08 mg",,,,
164,0:11:18,"It needs to go in at the next change, now",,,,
165,0:11:21,"I did epi, we here",,,,
166,0:11:21,They called the check,,,,
167,0:11:23,"Did you hear, 16 mg sucs right IO and now flushed",,,,
168,0:11:26,Thank you,,,,
169,0:11:27,Do you need a flush,,,,
170,0:11:28,The next dose of epi is due,,,,
171,0:11:29,"Yeah got it, okay dose number 2 epi",,,,
172,0:11:32,"Thank you, next dose then is uh 11 minutes",,,,
173,0:11:36,Hear that?,,,,
174,0:11:36,There's too many people in here,,,,
175,0:11:38,"Dose 2, epi",,,,
176,0:11:39,I got it,,,,
177,0:11:41,How much,,,,
178,0:11:42,"Alright everyone, everyone again, please stay quiet",,,,
179,0:11:44,"0.08, 0.08 milligrams",,,,
180,0:11:46,"Okay, um who's my nurse right",,,,
181,0:11:49,Right here,,,,
,,,,,,
213,0:14:05,Let's give him succinylcholine,,,,
,,,,,,
,,,,,,
161203,,,,,,
50,0:17:49,"Once we, once we get IV access, can we give her 1.5 mg of morphine",,,,
57,0:18:19,Did you get the morphine,,,,
,,,,,,
85,0:20:34,Complete labs and a dose of morphine soon thereafter please,,,,
,,,,,,
132,0:24:00,Before we roll her can we do the morphine,,,,
140,0:24:22,No meds given correct,,,,
141,0:24:24,I'm gonna give 1 and a half milligrams of morphine,,,,
142,0:24:26,"I'm just checking, wanted to make sure I didn't miss it, that's all I'm asking, thank you",,,,
143,0:24:58,Morphine is on,,,,
,,,,,,
,,,,,,
161127,,,,,,
121,0:08:44,We can probably do maintenance IV fluids,,,,
122,0:08:48,Or we can just do normal saline at uh let's do 32 CC's and out,,,,
,,,,,,
150,0:10:34,Shots are up to date,,,,
151,0:10:36,"No, I have a copy of the thing",,,,
152,0:10:37,Okay how far back is he missing,,,,
153,0:10:39,"Um I, I just, spread them out",,,,
154,0:10:42,Okay,,,,
155,0:10:43,"Oh okay, uh that's fine you just a little delay",,,,
156,0:11:00,We didn't do one this month because he had a cold,,,,
,,,,,,
,,,,,,
160129,,,,,,
25,0:12:14,Can you please adminster morphine,,,,
26,0:12:16,"Morphine, sir yes sir, do we have access any place?",,,,
,,,,,,
60,0:14:11,How much,,,,
61,0:14:12,0.3 CC's in each…nare,,,,
62,0:14:15,So 0.6 total?,,,,
63,0:14:16,Yes,,,,
66,0:14:54,Can he have that morphine,,,,
67,0:14:55,Morphine coming,,,,
68,0:14:55,Morphine ready,,,,
69,0:15:07,Morphine 1.7 mg,,,,
,,,,,,
73,0:15:17,Can we give him the ancept intraousseously,,,,
74,0:15:20,"I think that's running the blood, so I just wanted to give him-",,,,
75,0:15:21,Yea,,,,
76,0:15:23,Okay so um fentanyl 30 mites,,,,
77,0:15:24,23,,,,
78,0:15:30,No 30 mites,,,,
79,0:15:40,Fentanyl onboard sir,,,,
,,,,,,
89,0:16:52,Can he have morphine,,,,
,,,,,,
94,0:17:59,Morphine 1.7 mg,,,,
97,0:18:09,"Morphine, 1.7 mg",,,,
98,0:18:14,1.7?,,,,
99,0:18:22,And that ancept is ready at 13 mites per kg,,,,
100,0:18:25,Morphine onboard,,,,
101,0:18:33,So they can push it,,,,
102,0:18:34,I can do a push over 3,,,,
103,0:18:36,Oh you can? Great,,,,
104,0:18:37,"Push over 3, yes sir",,,,
105,0:18:39,Can we get some IV fluids on him too,,,,
107,0:18:47,I want to do it as a push over 3,,,,
113,0:19:13,Morphine kick,,,,
,,,,,,
117,0:19:31,Ancef going in,,,,
118,0:19:33,How much?,,,,
120,0:19:36,"Ancef, 750 mg",,,,
,,,,,,
,,,,,,
160128,,,,,,
8,0:11:29,No meds allowed,,,,
,,,,,,
30,0:13:33,Uh I could not get my med in right now,,,,
,,,,,,
,,,,,,
160126,,,,,,
8,0:08:26,Has he gotten anything for pain?,,,,
9,0:08:27,"No, we didn't do anything",,,,
,,,,,,
51,0:11:18,You said morphine right?,,,,
59,0:11:50,3 mg of morphine,,,,
,,,,,,
,,,,,,
170516,,,,,,
15,(00:38:49),"She was given 100 pg of fentanyl. The first one was at 18:26, the second one was 18:38.",,,,
19,(00:38:56),"Sorry, what was the last time of the fentanyl?",,,,
20,(00:38:58),"First one was 18:26, second one was 18:38.",,,,
,,,,,,
40,(00:40:41),What do we have her pain meds at?,,,,
41,(00:40:45),Let's give her two of morphine.,,,,
43,(00:40:47),I'm gonna give her two of morphine.,,,,
,,,,,,
61,(00:41:58),"Sweetie, I'm going to give you some medicine that's going to make it not hurt so much.",,,,
62,(00:42:06),This is 2mg of morphine.,,,,
63,(00:42:08),Okay.,,,,
66,(00:42:17),"Alright sweetheart, it's going to be a little poke. Sorry, sorry.",,,,
67,(00:42:24),"Gosh you are so brave. Tough girl, good job.",,,,
,,,,,,
,,,,,,
170514,,,,,,
187,(00:15:04),Should we give him something for pain?,,,,
188,(00:15:07),I'm fine with that.,,,,
189,(00:15:09),"What do you want, some morphine or...?",,,,
190,(00:15:13),I don't know that he needs morphine just right now.,,,,
191,(00:15:18),"Um, motrin?",,,,
192,(00:15:21),"Motrin is fine, I mean… tylenol is fine. It doesn't seem like he's in that much pain so we actually probably have some time.",,,,
193,(00:15:30),Okay.,,,,
,,,,,,
,,,,,,
170448,,,,,,
125,(00:07:17),Do you guys want to get something for pain control?,,,,
,,,,,,
,,,,,,
170438,,,,,,
51,(00:35:38),"Go ahead, get the 3% saline please ready",,,,
52,(00:35:40),It's ready,,,,
53,(00:35:40),"Okay. If we can give it, go ahead and give it. We getting second access started?",,,,
60,(00:36:06),"Let's get a line, is the keppra ready to go?",,,,
,,,,,,
72,(00:36:46),Okay so go ahead let's get some meds,,,,
74,(00:36:51),What meds do you want anesthesia?,,,,
75,(00:37:02),Can we get EPOC?,,,,
76,(00:37:03),Okay,,,,
77,(00:37:04),We need to use your line to give meds on,,,,
78,(00:37:06),No problem.,,,,
81,(00:37:23),Okay this line is ready,,,,
82,(00:37:30),Alright I'm ready for meds whenever you guys are,,,,
83,(00:37:39),You ready for meds?,,,,
85,(00:37:48),10 milligrams of etomidate,,,,
87,(00:37:53),Repeat that brown one please,,,,
88,(00:37:54),"10 milligrams, 5 milliliters of etomidate",,,,
89,(00:37:58),Getting everything ready. Okay let's go,,,,
90,(00:38:06),Etomidate is in,,,,
91,(00:38:19),3.3 milliliters of succs,,,,
92,(00:38:22),Need the milligram dose,,,,
93,(00:38:23),66,,,,
94,(00:38:24),"66 millileters of succs. I mean milligrams of succs, I'm sorry",,,,
98,(00:38:52),396 mLs of keppra,,,,
99,(00:38:56),Of keppra. Okay we're gonna get the pre-percentage first,,,,
100,(00:39:00),That's fine,,,,
102,(00:39:11),3%. 150 mLs runnning.,,,,
103,(00:39:27),3%?,,,,
104,(00:39:28),3% is running. 150 mLs.,,,,
,,,,,,
148,(00:42:48),Do you want us to give keppra?,,,,
,,,,,,
234,(00:48:30),Keppra's running?,,,,
235,(00:48:31),"Yep, keppra's running.",,,,
237,(00:48:33),Keppra's done,,,,
238,(00:48:34),"No, keppra's not done.",,,,
239,(00:48:35),Sorry,,,,
240,(00:48:36),Four bags,,,,
,,,,,,
,,,,,,
170432,,,,,,
118,(00:06:59),Does he have any other medical problems?,,,,
119,(00:07:01),No,,,,
120,(00:07:01),He take any medications?,,,,
121,(00:07:02),No,,,,
122,(00:07:03),Allergies?,,,,
123,(00:07:03),No,,,,
124,(00:07:04),Okay,,,,
,,,,,,
,,,,,,
170431,,,,,,
31,(00:13:56),"No, no medications were given.",,,,
32,(00:13:59),No meds were given?,,,,
33,(00:14:00),Nope,,,,
,,,,,,
,,,,,,
170429,,,,,,
55,(00:16:50),Would it be okay if I gave him a little morphine for the discomfort and maybe that'll chill him out a little bit,,,,
,,,,,,
,,,,,,
170426,,,,,,
7,(00:02:23),"So he received intranasal fentanyl, but I'm looking at a major deformity of his left distal femur. So he is, definitely pain control is number 1, okay?",,,,
10,(00:02:37),Two 30's two 30 miogram doses of fentanyl to nasal.,,,,
,,,,,,
41,(00:05:02),"Alright, so he's, so let's give him 3 milligrams when we do that by the access. Are we working on that right now?",,,,
,,,,,,
57,(00:06:15),"Because he's completely stable everybody, we're just gonna do IV pain control and then we'll roll him and get him off the board.",,,,
59,(00:06:28),"Here's what we, once he gets his pain meds we could put him in that traction, which is not neccesarily traction, but stabilize it as best we can and get him off the board.",,,,
,,,,,,
,,,,,,
170421,,,,,,
5,(00:08:47),"He's been given six rounds of epi, had three doses uh with the full backboard. We've got O2 stats but no end-tidal uh since",,,,
,,,,,,
22,(00:10:16),He wants an epi.,,,,
25,(00:10:21),Have we given a dose of epi here?,,,,
26,(00:10:23),Not yet.,,,,
,,,,,,
46,(00:11:55),"Have we given a dose of epi? Get epi, pulse off, we're gonna check for tube placement right now",,,,
47,(00:12:02),"Anesthesia on your, tell me when you're ready to check",,,,
48,(00:12:04),First we need to unhook this bar so do not go yet.,,,,
52,(00:12:31),"Have we given epi? Okay give an epi, give an epi",,,,
53,(00:12:32),"We gave, we gave the epi",,,,
,,,,,,
78,(00:13:35),So we've done 7 of epi,,,,
80,(00:13:37),We're about to do 8.,,,,
82,(00:13:45),Do we want to give eye stuff?,,,,
83,(00:13:46),"Yeah, we might as well.",,,,
84,(00:13:51),Let's get a gas. Let's get a […].,,,,
85,(00:13:53),Okay. Can we get a gas?,,,,
86,(00:13:59),"Alright, fluid is definitely in the right […], penetrating the",,,,
87,(00:14:03),What uh what pressures are you bagging at?,,,,
88,(00:14:06),"We're gonna retake, resecure him.",,,,
89,(00:14:08),Okay,,,,
90,(00:14:10),"Alright, let me get a tape ready",,,,
92,(00:14:18),In one more minute we're due for another dose of epi.,,,,
,,,,,,
,,,,,,
170420,,,,,,
17,(00:34:10),In the last 5 minutes we have given 4 of percet.,,,,
,,,,,,
55,(00:36:25),Ok go up to 50 mcgs of propofol,,,,
56,(00:36:27),So it's 50 mcgs right now?,,,,
57,(00:36:28),Yeah. It's on 40 we're going up to 50 of the propofol. He came in sedated,,,,
,,,,,,
74,(00:37:55),"Versed. Versed is ready, we have 6 milligrams",,,,
75,(00:37:59),Ok go out with the Versed,,,,
76,(00:38:01),"Alright, 6 milligrams of Versed",,,,
,,,,,,
105,(00:40:17),So go ahead with the fentanyl now.,,,,
108,(00:40:40),"Up, it's time to move now. Are you, --, are you giving fentanyl now --?",,,,
109,(00:40:43),Fentanyl 50. Five zero.,,,,
110,(00:40:44),"Thank you, --.",,,,
,,,,,,
,,,,,,
170221,,,,,,
104,(00:36:43),"You guys have fentanyl, versed, ---, …?",,,,
111,(00:37:22),"Did we give any meds or anything? Nothing yet, right?",,,,
112,(00:37:24),"Not yet, not yet.",,,,
113,(00:37:24),Okay.,,,,
116,(00:37:32),"Alright, hey guys let's get in there and get him the sedation while they're doing this so he's not ---.",,,,
117,(00:37:37),"Go ahead and do the fentanyl, versed please.",,,,
,,,,,,
138,(00:38:43),"So we want to go ahead and give the fentanyl, the versed … ?",,,,
139,(00:38:45),I've got a half a milligram of the versed.,,,,
141,(00:38:49),Half a milligram?,,,,
145,(00:38:58),"I'm sorry, half a milligram of versed you said?",,,,
147,(00:39:03),"Nurse ---, half a milligram of versed?",,,,
151,(00:39:11),"---, so we have ---  going in right now. Should we switch and give him that?",,,,
152,(00:39:14),"That's fine, go ahead and give the -- next, then give the fentanyl, then give the ---, get ready to tube.",,,,
157,(00:39:32),We are gonna paralyze with ROC and sedate with fentanyl and versed now to secure an airway prior to doing the chest tube.,,,,
158,(00:39:41),And atropine.,,,,
159,(00:39:42),"Oh, and atropine.",,,,
161,(00:39:50),I have 21 mg of atropine.,,,,
162,(00:40:06),You said 21 mg?,,,,
167,(00:40:24),Atropine's in.,,,,
168,(00:40:25),Okay.,,,,
169,(00:40:26),I'm giving 5 micrograms of fentanyl.,,,,
170,(00:40:38),What have we given so far? Medication-wise?,,,,
171,(00:40:40),"We've given atropine, we've given fentanyl, and we've given versed.",,,,
172,(00:40:47),I'm giving fentanyl now.,,,,
173,(00:40:47),Okay.,,,,
174,(00:40:48),We're gonna BL but not excavate until after…,,,,
175,(00:40:53),Can we give paralytics cause he has spontaneous circulation?,,,,
176,(00:40:57),"Yeah, just tell us when you're ready and we'll give him the paralytics.",,,,
177,(00:41:01),"Perfect, okay.",,,,
178,(00:41:02),"So, where are we on meds guys?",,,,
179,(00:41:05),"Fentanyl is in, atropine is in…",,,,
180,(00:41:08),The atropine is in?,,,,
181,(00:41:08),"Wait, did we skip the ROC?",,,,
182,(00:41:10),"Atropine is in, fentanyl is in, and versed is in.",,,,
183,(00:41:14),"Okay, then give the ROC and…",,,,
184,(00:41:17),How much ROC do we give him?,,,,
185,(00:41:19),This is 5mg.,,,,
186,(00:41:20),5 mg?,,,,
187,(00:41:21),You guys have all your meds ready… while they’re doing the chest tube.,,,,
195,(00:41:58),"Okay, ROC is in.",,,,
196,(00:42:00),Thank you.,,,,
200,(00:42:10),ROC is in.,,,,
201,(00:42:11,Thank you.,,,,
202,(00:42:14),"Don't bother with labs until we're there yet, let's get… just make that line work.",,,,
203,(00:42:19),Okay.,,,,
204,(00:42:38),All your numbers are looking good.,,,,
205,(00:42:41),Will you guys get another boost of --- ready?,,,,
206,(00:42:58),Do we want another med going in right now or?,,,,
207,(00:43:00),"Another what, sorry?",,,,
208,(00:43:01),Another med patient going?,,,,
209,(00:43:02),"Not yet, let them do that, then we'll sedate and paralyze, yeah and get more access. ",,,,
,,,,,,
228,(00:44:01),"You guys can start the chest tube, yeah.",,,,
229,(00:44:03),We're still good so…,,,,
230,(00:44:05),And we have two access points so we can start giving meds to him when you guys are - as soon as they're secure.,,,,
234,(00:44:25),They don’t… do you guys have fentanyl as well?,,,,
235,(00:44:27),Yes.,,,,
236,(00:44:27),"Yes, okay.",,,,
237,(00:44:28),And we already gave one dose.,,,,
238,(00:44:36),"---, why are we so tachycardic? ",,,,
239,(00:44:38),Because we gave Epi.,,,,
240,(00:44:42),Can we get another blood pressure though?,,,,
241,(00:44:43),"I just hit it, it's coming.",,,,
242,(00:44:45),Okay.,,,,
243,(00:44:47),The heart rate is high.,,,,
244,(00:44:49),"Yeah, but we gave Epi.",,,,
245,(00:44:50),Okay.,,,,
,,,,,,
,,,,,,
170305,,,,,,
133,(00:10:06),Can we give him some pain meds?,,,,
134,(00:10:07),I'm sorry buddy.,,,,
,,,,,,
166,(00:12:10),"Yeah, we probably need… can we, can we give him some morphine?",,,,
167,(00:12:14),"Yeah, yeah you can give him some --.",,,,
,,,,,,
173,(00:12:38),"Do you know, do you know if you have any medicines you can't take?",,,,
175,(00:12:45),Do you have any problems with allergies to any medicine?,,,,
177,(00:13:02),"We're gonna give you some medicine for the pain, okay? Alright. ",,,,
178,(00:13:07),"About, do you know about what you weigh? Like 80 pounds or how many pounds?",,,,
179,(00:13:11),Ninety.,,,,
180,(00:13:12),"You weigh 90 pounds? Okay, so we'll put him in about..",,,,
181,(00:13:17),40 kilos?,,,,
182,(00:13:18),Yeah.,,,,
,,,,,,
,,,,,,
170119,,,,,,
90,(00:16:36),"It's okay, it's okay, it's okay, it's gonna help send you medicine for your shoulder. ",,,,
91,(00:16:36),"We're gonna give you some pain meds, bud, so..",,,,
103,(00:17:05),"--, can you get him 4 of morphine?",,,,
115,(00:18:00),"Let's give morphine first, and then roll him. ",,,,
117,(00:18:13),"I can't, I don't think, I don't think I can tolerate this pain for long. ",,,,
118,(00:18:18),"I know, you're getting medicine right now, okay? Some good IV pain medicine. ",,,,
119,(00:18:22),Is there any medicine you know you can't take?,,,,
120,(00:18:24),I don't know. ,,,,
121,(00:18:26),Not that you know of? Is there anything that you're allergic to that you know?,,,,
,,,,,,
,,,,,,
170418,,,,,,
119,(00:39:39),Morphine's in.,,,,
120,(00:30:49),".--, I'm gonna take this arm here.",,,,
,,,,,,
,,,,,,
170412,,,,,,
56,(00:15:33),"Can we give him something for his face, even like Motrin?",,,,
57,(00:15:35),For pain? Yeah he doesn't have any […] as far as we know from Wednesday so we'll just look at that.,,,,
58,(00:15:35),"Yeah, he can have some Tylenol",,,,
,,,,,,
,,,,,,
170406,,,,,,
20,(00:12:07),Can you hand me a plastic syringe?,,,,
21,(00:12:08),Yes.,,,,
22,(00:12:18),Are we interested in more medication?,,,,
23,(00:12:19),"Yeah, I would",,,,
24,(00:12:20),One of each?,,,,
25,(00:12:21),"Yes, please",,,,
26,(00:12:25),Put about 8 per kilo.,,,,
30,(00:12:56),Can we get some versed and fentanyl,,,,
31,(00:12:58),"Uh, Midaz is going out, 2.7",,,,
32,(00:13:00),2.7 of Midaz.,,,,
33,(00:13:11),2.7 of Midaz,,,,
34,(00:13:12),He needs to be sedated.,,,,
35,(00:13:13),He's gonna be 60 of fentanyl,,,,
36,(00:13:15),60 of fentanyl,,,,
38,(00:13:40),2.7 milligrams,,,,
40,(00:13:44),2.7.,,,,
,,,,,,
,,,,,,
170308,,,,,,
69,14:03,Do you guys want morphine for pain?,,,,
70,14:06,What did he say he was?,,,,
71,14:07,6 out of 10,,,,
72,14:17,He got fentanyl … earlier,,,,
,,,,,,
,,,,,,
170304,,,,,,
14,(00:35:18),"Alright, so guys, let's get ready to give that dose of mannitol then.",,,,
